vehicle_id,zone,vehicle_type,battery_capacity_kWh,registration_date
EV-00041,Koramangala,2W,2.2,2024-09-16
EV-00042,Koramangala,3W,7.5,2024-10-24
EV-00043,Koramangala,4W,45.2,2025-01-02
EV-00044,Koramangala,3W,7.7,2024-01-07
EV-00045,Koramangala,4W,46.2,2024-06-19
EV-00046,Koramangala,4W,33.8,2024-08-08
EV-00047,Koramangala,4W,73.9,2025-05-01
EV-00048,Koramangala,2W,1.7,2024-10-13
EV-00049,Koramangala,2W,2.1,2024-04-05
EV-00050,Koramangala,4W,63.2,2024-04-22
EV-00051,Koramangala,2W,3.4,2024-10-14
EV-00052,Koramangala,3W,7.4,2024-07-21
EV-00053,Koramangala,4W,32.0,2023-10-27
EV-00054,Koramangala,4W,37.3,2024-07-21
EV-00055,Koramangala,4W,55.9,2023-11-02
EV-00056,Koramangala,4W,47.4,2024-07-06
EV-00057,Koramangala,4W,31.0,2025-02-05
EV-00058,Koramangala,4W,69.5,2024-08-19
EV-00059,Koramangala,4W,66.3,2024-10-23
EV-00060,Koramangala,2W,3.8,2025-01-12
EV-00061,Koramangala,2W,3.8,2024-04-23
EV-00062,Koramangala,2W,1.5,2024-08-18
EV-00063,Koramangala,4W,50.2,2024-11-25
EV-00064,Koramangala,4W,65.5,2024-07-22
EV-00065,Koramangala,2W,3.7,2025-01-03
EV-00066,Koramangala,4W,34.6,2024-07-24
EV-00067,Koramangala,4W,33.7,2025-01-15
EV-00068,Koramangala,4W,63.9,2024-12-28
EV-00069,Koramangala,2W,3.8,2024-07-11
EV-00070,Koramangala,2W,1.8,2024-06-08
EV-00071,Koramangala,4W,46.9,2024-05-31
EV-00072,Koramangala,2W,3.9,2024-09-13
EV-00073,Koramangala,4W,53.5,2024-07-01
EV-00074,Koramangala,3W,9.5,2023-10-18
EV-00075,Koramangala,3W,6.8,2025-01-21
EV-00076,Koramangala,4W,54.1,2024-04-06
EV-00077,Koramangala,4W,67.0,2025-04-21
EV-00078,Koramangala,2W,1.6,2024-03-18
EV-00079,Koramangala,3W,6.9,2025-01-09
EV-00080,Koramangala,2W,3.7,2024-10-15
EV-00081,Koramangala,4W,41.1,2025-02-09
EV-00082,Koramangala,2W,3.2,2025-04-23
EV-00083,Koramangala,3W,8.9,2024-05-14
EV-00084,Koramangala,4W,48.2,2024-10-30
EV-00085,Koramangala,2W,1.5,2023-11-01
EV-00086,Koramangala,4W,45.7,2024-04-04
EV-00087,Koramangala,4W,72.7,2025-04-08
EV-00088,Koramangala,3W,6.6,2025-03-29
EV-00089,Koramangala,2W,1.9,2024-05-19
EV-00090,Koramangala,4W,51.3,2025-02-27
EV-00091,Koramangala,2W,2.2,2024-07-22
EV-00092,Koramangala,3W,8.5,2025-01-18
EV-00093,Koramangala,2W,2.2,2024-09-22
EV-00094,Koramangala,2W,2.7,2025-04-23
EV-00095,Koramangala,2W,2.1,2024-08-23
EV-00096,Koramangala,2W,2.6,2025-04-08
EV-00097,Koramangala,2W,2.3,2024-10-12
EV-00098,Koramangala,3W,8.4,2025-01-10
EV-00099,Koramangala,3W,8.7,2025-02-03
EV-00100,Koramangala,4W,55.7,2025-04-02
EV-00101,Koramangala,2W,1.9,2024-10-23
EV-00102,Koramangala,2W,2.8,2024-09-01
EV-00103,Koramangala,4W,68.9,2025-01-31
EV-00104,Koramangala,4W,55.1,2025-04-18
EV-00105,Koramangala,2W,2.6,2025-04-05
EV-00106,Koramangala,2W,3.0,2024-06-25
EV-00107,Koramangala,2W,1.8,2024-03-30
EV-00108,Koramangala,4W,56.8,2025-05-10
EV-00109,Koramangala,4W,73.4,2024-06-25
EV-00110,Koramangala,2W,3.4,2024-06-02
EV-00111,Koramangala,2W,1.9,2024-07-11
EV-00112,Koramangala,2W,3.7,2024-03-22
EV-00113,Koramangala,3W,6.5,2025-01-16
EV-00114,Koramangala,2W,2.9,2024-11-07
EV-00115,Koramangala,4W,45.1,2024-07-19
EV-00116,Koramangala,4W,65.5,2024-10-04
EV-00117,Koramangala,2W,2.9,2024-09-06
EV-00118,Koramangala,2W,3.6,2024-08-23
EV-00119,Koramangala,2W,3.3,2024-10-05
EV-00120,Koramangala,2W,2.4,2025-05-06
EV-00121,Koramangala,2W,3.0,2023-12-25
EV-00122,Koramangala,4W,55.4,2024-08-28
EV-00123,Koramangala,3W,8.0,2024-01-22
EV-00124,Koramangala,3W,5.6,2024-12-16
EV-00125,Koramangala,2W,2.3,2024-10-16
EV-00126,Koramangala,2W,2.4,2025-02-14
EV-00127,Koramangala,2W,1.9,2025-01-29
EV-00128,Koramangala,4W,38.0,2024-04-16
EV-00129,Koramangala,4W,52.6,2025-02-20
EV-00130,Koramangala,4W,39.2,2024-10-12
EV-00131,Koramangala,2W,3.4,2024-02-25
EV-00132,Koramangala,3W,5.8,2023-12-11
EV-00133,Koramangala,2W,1.6,2025-02-25
EV-00134,Koramangala,2W,2.1,2024-02-29
EV-00135,Koramangala,2W,1.7,2024-10-04
EV-00136,Koramangala,2W,3.2,2024-10-01
EV-00137,Koramangala,2W,2.0,2024-12-12
EV-00138,Koramangala,4W,66.8,2025-02-01
EV-00139,Koramangala,2W,3.1,2024-11-12
EV-00140,Koramangala,4W,64.4,2024-02-29
EV-00141,Koramangala,4W,49.1,2024-06-16
EV-00142,Koramangala,2W,1.8,2025-04-10
EV-00143,Koramangala,2W,1.5,2024-09-12
EV-00144,Koramangala,3W,8.3,2025-02-17
EV-00145,Koramangala,4W,37.9,2023-10-30
EV-00146,Koramangala,2W,1.9,2025-03-14
EV-00147,Koramangala,2W,2.2,2024-11-07
EV-00148,Koramangala,3W,8.3,2024-02-20
EV-00149,Koramangala,2W,3.0,2024-12-26
EV-00150,Koramangala,4W,34.8,2024-10-22
EV-00151,Koramangala,2W,2.1,2024-04-25
EV-00152,Koramangala,3W,6.8,2024-05-26
EV-00153,Koramangala,3W,9.4,2024-09-06
EV-00154,Koramangala,4W,41.2,2024-06-30
EV-00155,Koramangala,3W,9.6,2024-05-27
EV-00156,Koramangala,4W,72.5,2024-05-26
EV-00157,Koramangala,4W,31.7,2024-08-31
EV-00158,Koramangala,4W,45.3,2024-11-07
EV-00159,Koramangala,4W,44.3,2024-12-23
EV-00160,Koramangala,2W,3.7,2024-06-22
EV-00161,Koramangala,4W,74.9,2024-03-28
EV-00162,Koramangala,4W,69.3,2025-02-16
EV-00163,Koramangala,2W,1.8,2025-02-01
EV-00164,Koramangala,2W,1.5,2024-11-03
EV-00165,Koramangala,2W,3.9,2024-05-11
EV-00166,Koramangala,4W,37.5,2024-10-27
EV-00167,Koramangala,2W,1.9,2024-11-22
EV-00168,Koramangala,2W,3.9,2024-02-06
EV-00169,Koramangala,4W,40.1,2024-04-03
EV-00170,Koramangala,2W,3.7,2024-12-03
EV-00171,Koramangala,4W,66.4,2024-12-04
EV-00172,Koramangala,2W,2.1,2025-01-25
EV-00173,Koramangala,4W,33.4,2024-12-28
EV-00174,Koramangala,4W,45.7,2024-11-23
EV-00175,Koramangala,4W,59.6,2024-08-08
EV-00176,Koramangala,4W,63.9,2024-11-13
EV-00177,Koramangala,2W,3.5,2024-12-28
EV-00178,Koramangala,4W,74.2,2025-04-04
EV-00179,Koramangala,4W,34.8,2024-12-21
EV-00180,Koramangala,4W,71.9,2024-12-20
EV-00181,Koramangala,2W,3.0,2023-11-14
EV-00182,Koramangala,4W,73.6,2025-01-12
EV-00183,Koramangala,2W,2.3,2024-03-13
EV-00184,Koramangala,2W,4.0,2024-11-07
EV-00185,Koramangala,4W,39.9,2024-07-18
EV-00186,Koramangala,4W,36.8,2024-07-07
EV-00187,Koramangala,2W,2.2,2024-11-05
EV-00188,Koramangala,2W,1.6,2025-04-11
EV-00189,Koramangala,4W,38.3,2024-10-03
EV-00190,Koramangala,4W,58.2,2024-11-07
EV-00191,Koramangala,2W,1.8,2025-03-15
EV-00192,Koramangala,2W,3.0,2024-04-13
EV-00193,Koramangala,2W,1.7,2024-03-16
EV-00194,Koramangala,4W,68.7,2025-02-03
EV-00195,Koramangala,2W,2.7,2024-06-18
EV-00196,Koramangala,2W,2.8,2024-09-18
EV-00197,Koramangala,2W,1.8,2024-04-23
EV-00198,Koramangala,2W,1.8,2024-07-04
EV-00199,Koramangala,2W,2.9,2024-08-14
EV-00200,Koramangala,2W,3.5,2024-05-09
EV-00201,Koramangala,3W,8.7,2024-12-01
EV-00202,Koramangala,4W,45.2,2024-06-06
EV-00203,Koramangala,3W,8.6,2024-10-16
EV-00204,Koramangala,2W,1.6,2024-05-31
EV-00205,Koramangala,4W,49.1,2025-03-29
EV-00206,Koramangala,4W,51.9,2024-05-07
EV-00207,Koramangala,3W,9.6,2024-10-12
EV-00208,Koramangala,2W,3.3,2024-02-13
EV-00209,Koramangala,2W,3.6,2025-01-31
EV-00210,Koramangala,3W,6.8,2024-11-02
EV-00211,Koramangala,2W,3.1,2025-01-30
EV-00212,Koramangala,3W,6.2,2024-09-02
EV-00213,Koramangala,4W,49.4,2025-04-14
EV-00214,Koramangala,2W,1.6,2024-05-18
EV-00215,Koramangala,4W,56.3,2023-12-25
EV-00216,Koramangala,2W,2.8,2024-12-23
EV-00217,Koramangala,3W,5.2,2024-12-20
EV-00218,Koramangala,3W,7.4,2024-11-16
EV-00219,Koramangala,4W,73.6,2025-01-11
EV-00220,Koramangala,2W,3.2,2024-02-23
EV-00221,Koramangala,4W,69.1,2024-11-14
EV-00222,Koramangala,4W,47.7,2024-06-04
EV-00223,Koramangala,2W,3.9,2025-01-29
EV-00224,Koramangala,4W,69.5,2024-11-12
EV-00225,Koramangala,4W,65.9,2025-02-25
EV-00226,Koramangala,2W,2.3,2025-01-03
EV-00227,Koramangala,2W,2.1,2025-03-22
EV-00228,Koramangala,3W,6.9,2023-08-05
EV-00229,Koramangala,2W,2.5,2024-04-03
EV-00230,Koramangala,4W,66.6,2024-02-23
EV-00231,Koramangala,4W,32.7,2024-06-22
EV-00232,Koramangala,2W,2.2,2024-11-29
EV-00233,Koramangala,4W,62.2,2023-12-24
EV-00234,Koramangala,4W,38.2,2024-09-22
EV-00235,Koramangala,2W,3.9,2024-09-18
EV-00236,Koramangala,4W,72.8,2024-04-18
EV-00237,Koramangala,2W,3.0,2024-06-03
EV-00238,Koramangala,2W,3.6,2024-11-23
EV-00239,Koramangala,3W,7.9,2024-10-24
EV-00240,Koramangala,2W,1.6,2024-10-30
EV-00241,Koramangala,2W,3.0,2023-10-16
EV-00242,Koramangala,4W,61.2,2024-11-22
EV-00243,Koramangala,2W,3.7,2024-10-08
EV-00244,Koramangala,2W,2.8,2024-03-24
EV-00245,Koramangala,3W,6.6,2025-04-13
EV-00246,Koramangala,2W,2.9,2024-09-30
EV-00247,Koramangala,3W,5.5,2024-12-19
EV-00248,Koramangala,4W,71.7,2023-12-31
EV-00249,Koramangala,4W,54.3,2025-03-05
EV-00250,Koramangala,4W,35.7,2024-10-15
EV-00251,Koramangala,2W,2.2,2023-11-03
EV-00252,Koramangala,2W,3.0,2024-08-04
EV-00253,Koramangala,4W,39.4,2024-06-29
EV-00254,Koramangala,4W,69.1,2024-08-28
EV-00255,Koramangala,2W,1.9,2024-06-03
EV-00256,Koramangala,4W,36.0,2024-10-11
EV-00257,Koramangala,4W,37.9,2024-02-28
EV-00258,Koramangala,2W,1.6,2024-11-24
EV-00259,Koramangala,2W,2.3,2024-04-25
EV-00260,Koramangala,2W,3.0,2024-10-14
EV-00261,Koramangala,4W,32.6,2024-01-23
EV-00262,Koramangala,2W,2.8,2024-12-18
EV-00263,Koramangala,4W,53.7,2023-12-03
EV-00264,Koramangala,2W,3.6,2024-09-24
EV-00265,Koramangala,2W,3.4,2025-05-07
EV-00266,Koramangala,2W,3.9,2024-09-16
EV-00267,Koramangala,3W,7.3,2024-07-23
EV-00268,Koramangala,2W,3.3,2024-10-31
EV-00269,Koramangala,4W,70.1,2025-02-20
EV-00270,Koramangala,2W,3.6,2023-11-11
EV-00271,Koramangala,4W,57.6,2024-07-30
EV-00272,Koramangala,3W,8.4,2024-12-10
EV-00273,Koramangala,4W,63.2,2025-01-29
EV-00274,Koramangala,4W,38.3,2024-07-12
EV-00275,Koramangala,2W,3.9,2024-03-10
EV-00276,Koramangala,2W,1.8,2024-06-10
EV-00277,Koramangala,2W,3.9,2025-02-13
EV-00278,Koramangala,3W,8.7,2024-10-23
EV-00279,Koramangala,4W,40.1,2024-09-17
EV-00280,Koramangala,4W,40.8,2024-10-19
EV-00281,Koramangala,2W,3.5,2024-11-22
EV-00282,Koramangala,4W,62.8,2024-10-16
EV-00283,Koramangala,4W,72.2,2024-06-16
EV-00284,Koramangala,3W,9.2,2024-12-22
EV-00285,Koramangala,2W,2.9,2024-08-06
EV-00286,Koramangala,2W,2.7,2024-08-26
EV-00287,Koramangala,3W,8.7,2025-03-15
EV-00288,Koramangala,3W,5.0,2025-02-15
EV-00289,Koramangala,2W,1.9,2024-05-30
EV-00290,Koramangala,2W,3.3,2024-11-18
EV-00291,Koramangala,4W,30.1,2025-04-22
EV-00292,Koramangala,3W,7.4,2025-01-02
EV-00293,Koramangala,3W,8.0,2024-07-21
EV-00294,Koramangala,3W,5.4,2024-09-27
EV-00295,Koramangala,4W,53.3,2025-02-14
EV-00296,Koramangala,2W,2.1,2024-03-30
EV-00297,Koramangala,4W,35.3,2024-01-07
EV-00298,Koramangala,3W,5.9,2024-06-02
EV-00299,Koramangala,4W,41.7,2025-04-23
EV-00300,Koramangala,3W,5.7,2024-12-17
EV-00301,Koramangala,4W,64.4,2023-11-09
EV-00302,Koramangala,4W,73.0,2024-08-23
EV-00303,Koramangala,2W,3.8,2025-01-02
EV-00304,Koramangala,4W,32.9,2024-05-26
EV-00305,Koramangala,4W,31.0,2024-06-21
EV-00306,Koramangala,2W,2.5,2024-10-07
EV-00307,Koramangala,3W,7.3,2024-11-30
EV-00308,Koramangala,2W,2.1,2024-05-29
EV-00309,Koramangala,2W,3.7,2024-05-28
EV-00310,Koramangala,2W,2.6,2024-12-25
EV-00311,Koramangala,2W,3.1,2024-06-14
EV-00312,Koramangala,3W,5.3,2024-11-30
EV-00313,Koramangala,2W,3.4,2025-02-03
EV-00314,Koramangala,4W,40.7,2025-01-05
EV-00315,Koramangala,3W,5.5,2024-09-16
EV-00316,Koramangala,4W,39.2,2024-08-02
EV-00317,Koramangala,4W,65.9,2025-01-07
EV-00318,Koramangala,4W,65.7,2024-05-16
EV-00319,Koramangala,4W,59.4,2025-03-04
EV-00320,Koramangala,4W,66.2,2025-02-12
EV-00321,Koramangala,4W,58.6,2024-07-25
EV-00322,Koramangala,2W,2.9,2024-07-25
EV-00323,Koramangala,4W,38.4,2024-09-12
EV-00324,Koramangala,2W,2.7,2023-08-20
EV-00325,Koramangala,4W,45.1,2025-02-07
EV-00326,Koramangala,2W,1.9,2024-11-24
EV-00327,Koramangala,4W,45.9,2024-12-18
EV-00328,Koramangala,2W,3.2,2024-09-05
EV-00329,Koramangala,4W,40.2,2024-11-17
EV-00330,Koramangala,3W,6.5,2025-03-28
EV-00331,Koramangala,4W,65.5,2024-10-20
EV-00332,Koramangala,3W,5.6,2025-01-15
EV-00333,Koramangala,2W,3.9,2024-09-13
EV-00334,Koramangala,4W,42.6,2024-11-28
EV-00335,Koramangala,4W,30.8,2024-08-26
EV-00336,Koramangala,2W,3.7,2024-06-23
EV-00337,Koramangala,2W,1.5,2024-05-03
EV-00338,Koramangala,2W,3.4,2025-04-22
EV-00339,Koramangala,2W,1.7,2024-03-09
EV-00340,Koramangala,4W,57.0,2024-08-05
EV-00341,Koramangala,3W,7.6,2024-05-31
EV-00342,Koramangala,4W,70.2,2025-05-08
EV-00343,Koramangala,4W,40.7,2024-03-25
EV-00344,Koramangala,4W,72.8,2025-01-25
EV-00345,Koramangala,2W,2.1,2023-12-30
EV-00346,Koramangala,2W,3.9,2024-05-27
EV-00347,Koramangala,2W,2.0,2024-09-27
EV-00348,Koramangala,3W,7.6,2025-01-04
EV-00349,Koramangala,4W,35.1,2024-10-08
EV-00350,Koramangala,4W,74.7,2024-08-05
EV-00351,Koramangala,2W,3.8,2025-01-13
EV-00352,Koramangala,4W,67.0,2024-04-24
EV-00353,Koramangala,2W,3.0,2024-08-30
EV-00354,Koramangala,2W,1.8,2025-01-21
EV-00355,Koramangala,2W,3.9,2024-06-16
EV-00356,Koramangala,2W,3.1,2024-07-05
EV-00357,Koramangala,2W,3.8,2024-05-07
EV-00358,Koramangala,2W,2.2,2024-08-09
EV-00359,Koramangala,3W,6.7,2024-12-05
EV-00360,Koramangala,2W,3.2,2024-10-31
EV-00361,Koramangala,4W,67.0,2024-12-27
EV-00362,Koramangala,3W,6.9,2024-09-19
EV-00363,Koramangala,2W,2.6,2024-04-12
EV-00364,Koramangala,2W,3.1,2024-05-01
EV-00365,Koramangala,2W,3.2,2024-07-16
EV-00366,Koramangala,3W,8.4,2024-11-24
EV-00367,Koramangala,4W,47.3,2024-10-07
EV-00368,Koramangala,2W,3.4,2025-01-01
EV-00369,Koramangala,4W,44.1,2025-01-23
EV-00370,Koramangala,2W,3.9,2024-02-29
EV-00371,Koramangala,2W,2.9,2025-03-15
EV-00372,Koramangala,2W,2.1,2024-07-20
EV-00373,Koramangala,4W,55.1,2024-09-15
EV-00374,Koramangala,4W,52.0,2024-11-27
EV-00375,Koramangala,2W,2.5,2024-09-06
EV-00376,Koramangala,4W,70.9,2025-04-18
EV-00377,Koramangala,4W,35.6,2024-11-13
EV-00378,Koramangala,2W,2.7,2025-01-28
EV-00379,Koramangala,2W,2.2,2024-08-28
EV-00380,Koramangala,3W,7.9,2024-04-06
EV-00381,Koramangala,4W,55.8,2024-08-17
EV-00382,Koramangala,2W,3.6,2024-12-10
EV-00383,Koramangala,4W,30.9,2024-08-07
EV-00384,Koramangala,2W,2.4,2025-02-09
EV-00385,Koramangala,2W,4.0,2024-07-23
EV-00386,Koramangala,4W,67.5,2025-01-23
EV-00387,Koramangala,4W,64.5,2024-11-13
EV-00388,Koramangala,2W,2.5,2024-12-27
EV-00389,Koramangala,4W,72.6,2025-04-25
EV-00390,Koramangala,4W,61.8,2025-03-09
EV-00391,Koramangala,4W,71.8,2024-06-03
EV-00392,Koramangala,2W,3.1,2024-10-25
EV-00393,Koramangala,2W,3.7,2024-10-04
EV-00394,Koramangala,4W,67.0,2025-02-05
EV-00395,Koramangala,4W,42.2,2023-09-09
EV-00396,Koramangala,2W,3.4,2024-12-03
EV-00397,Koramangala,2W,3.3,2024-12-08
EV-00398,Koramangala,2W,2.4,2024-12-30
EV-00399,Koramangala,4W,49.5,2024-07-22
EV-00400,Koramangala,4W,52.2,2025-01-16
EV-00401,Koramangala,2W,3.3,2024-06-18
EV-00402,Koramangala,2W,3.5,2024-09-03
EV-00403,Koramangala,3W,7.2,2024-10-29
EV-00404,Koramangala,2W,3.4,2025-03-13
EV-00405,Koramangala,4W,51.3,2024-10-24
EV-00406,Koramangala,2W,1.8,2024-12-31
EV-00407,Koramangala,2W,3.3,2024-04-10
EV-00408,Koramangala,2W,1.8,2024-09-22
EV-00409,Koramangala,2W,2.3,2024-12-01
EV-00410,Koramangala,2W,2.8,2025-02-07
EV-00411,Koramangala,3W,8.4,2024-12-29
EV-00412,Koramangala,4W,35.6,2024-09-03
EV-00413,Koramangala,2W,1.5,2024-08-02
EV-00414,Koramangala,2W,1.5,2024-04-07
EV-00415,Koramangala,2W,3.7,2024-09-16
EV-00416,Koramangala,2W,1.7,2024-03-18
EV-00417,Koramangala,3W,5.3,2024-10-27
EV-00418,Koramangala,2W,2.1,2024-11-06
EV-00419,Koramangala,3W,5.7,2024-11-01
EV-00420,Koramangala,2W,2.4,2024-12-12
EV-00421,Koramangala,4W,32.8,2025-03-31
EV-00422,Koramangala,3W,6.2,2024-01-27
EV-00423,Koramangala,4W,50.7,2025-05-19
EV-00424,Koramangala,2W,2.0,2025-01-09
EV-00425,Koramangala,4W,74.8,2025-04-13
EV-00426,Koramangala,2W,3.1,2024-08-17
EV-00427,Koramangala,3W,8.6,2024-02-13
EV-00428,Koramangala,3W,8.9,2024-11-21
EV-00429,Koramangala,4W,40.3,2025-03-24
EV-00430,Koramangala,4W,34.3,2024-12-02
EV-00431,Koramangala,2W,2.2,2024-06-16
EV-00432,Koramangala,4W,46.7,2024-02-02
EV-00433,Koramangala,3W,6.8,2025-02-12
EV-00434,Koramangala,4W,40.8,2024-07-11
EV-00435,Koramangala,2W,1.9,2025-01-11
EV-00436,Koramangala,2W,3.0,2024-03-24
EV-00437,Koramangala,4W,72.6,2025-01-01
EV-00438,Koramangala,3W,6.0,2025-03-17
EV-00439,Koramangala,2W,1.7,2024-12-09
EV-00440,Koramangala,4W,36.8,2024-10-13
EV-00441,Koramangala,2W,1.8,2024-06-25
EV-00442,Koramangala,2W,2.3,2024-11-24
EV-00443,Koramangala,4W,49.0,2025-03-31
EV-00444,Koramangala,2W,2.4,2025-01-05
EV-00445,Koramangala,4W,33.5,2024-01-07
EV-00446,Koramangala,3W,9.8,2024-09-25
EV-00447,Koramangala,4W,64.2,2025-04-30
EV-00448,Koramangala,4W,67.2,2023-09-15
EV-00449,Koramangala,4W,62.8,2024-05-11
EV-00450,Koramangala,2W,2.3,2025-01-21
EV-00451,Koramangala,3W,9.7,2024-03-01
EV-00452,Koramangala,4W,47.3,2024-07-12
EV-00453,Koramangala,4W,54.6,2024-11-27
EV-00454,Koramangala,4W,38.1,2024-06-07
EV-00455,Koramangala,4W,37.1,2024-07-21
EV-00456,Koramangala,4W,41.3,2025-02-02
EV-00457,Koramangala,2W,3.2,2024-02-18
EV-00458,Koramangala,2W,3.1,2024-06-17
EV-00459,Koramangala,4W,42.9,2023-11-22
EV-00460,Koramangala,2W,3.9,2024-08-07
EV-00461,Koramangala,2W,3.4,2023-12-20
EV-00462,Koramangala,4W,33.0,2025-01-24
EV-00463,Koramangala,4W,49.0,2024-10-17
EV-00464,Koramangala,3W,6.3,2025-01-13
EV-00465,Koramangala,2W,1.7,2024-08-15
EV-00466,Koramangala,4W,59.2,2025-01-04
EV-00467,Koramangala,4W,44.1,2025-03-27
EV-00468,Koramangala,2W,1.9,2024-10-19
EV-00469,Koramangala,3W,8.5,2024-08-06
EV-00470,Koramangala,2W,2.6,2024-12-27
EV-00471,Koramangala,4W,74.0,2024-11-22
EV-00472,Koramangala,4W,71.2,2024-09-29
EV-00473,Koramangala,2W,3.0,2025-02-13
EV-00474,Koramangala,2W,2.0,2024-04-19
EV-00475,Koramangala,2W,1.7,2025-02-08
EV-00476,Koramangala,2W,3.9,2024-05-17
EV-00477,Koramangala,3W,6.0,2024-10-17
EV-00478,Koramangala,2W,2.4,2024-09-13
EV-00479,Koramangala,2W,3.7,2023-11-28
EV-00480,Koramangala,2W,3.3,2024-09-15
EV-00481,Koramangala,2W,3.6,2024-12-23
EV-00482,Koramangala,3W,5.3,2024-09-06
EV-00483,Koramangala,2W,1.9,2024-06-17
EV-00484,Koramangala,4W,35.0,2024-05-06
EV-00485,Koramangala,3W,6.8,2025-02-12
EV-00486,Koramangala,4W,72.9,2024-08-07
EV-00487,Koramangala,4W,34.6,2025-05-09
EV-00488,Koramangala,4W,60.5,2024-10-05
EV-00489,Koramangala,2W,3.2,2024-04-23
EV-00490,Koramangala,2W,1.5,2024-08-22
EV-00491,Koramangala,2W,1.5,2024-10-05
EV-00492,Koramangala,3W,8.0,2025-02-22
EV-00493,Koramangala,4W,55.1,2025-01-01
EV-00494,Koramangala,4W,37.7,2024-07-06
EV-00495,Koramangala,2W,2.3,2024-06-25
EV-00496,Koramangala,4W,39.2,2024-06-16
EV-00497,Koramangala,2W,2.7,2025-01-13
EV-00498,Koramangala,2W,3.3,2024-07-05
EV-00499,Koramangala,3W,6.7,2024-03-30
EV-00500,Koramangala,4W,51.0,2025-01-17
EV-00501,Koramangala,2W,1.7,2025-01-24
EV-00502,Koramangala,2W,3.1,2025-05-18
EV-00503,Koramangala,4W,55.2,2024-10-28
EV-00504,Koramangala,2W,2.4,2025-03-27
EV-00505,Koramangala,2W,2.0,2024-04-04
EV-00506,Koramangala,4W,54.7,2024-11-15
EV-00507,Koramangala,4W,66.1,2024-05-12
EV-00508,Koramangala,4W,37.6,2025-02-08
EV-00509,Koramangala,4W,56.9,2024-08-27
EV-00510,Koramangala,2W,2.7,2024-03-07
EV-00511,Koramangala,2W,2.0,2025-01-02
EV-00512,Koramangala,2W,3.2,2024-07-29
EV-00513,Koramangala,2W,3.2,2024-06-12
EV-00514,Koramangala,2W,2.0,2024-09-07
EV-00515,Koramangala,4W,66.7,2025-02-15
EV-00516,Koramangala,4W,46.6,2024-08-25
EV-00517,Koramangala,4W,44.5,2025-03-21
EV-00518,Koramangala,4W,67.1,2024-08-16
EV-00519,Koramangala,2W,4.0,2025-04-14
EV-00520,Koramangala,4W,40.9,2024-04-03
EV-00521,Koramangala,2W,3.5,2025-01-14
EV-00522,Koramangala,2W,3.4,2025-03-22
EV-00523,Koramangala,4W,68.9,2024-06-02
EV-00524,Koramangala,2W,3.3,2024-11-14
EV-00525,Koramangala,4W,45.4,2025-04-03
EV-00526,Koramangala,2W,2.6,2024-02-19
EV-00527,Koramangala,2W,2.8,2024-07-01
EV-00528,Koramangala,2W,3.1,2024-06-09
EV-00529,Koramangala,4W,67.7,2025-03-22
EV-00530,Koramangala,4W,73.2,2023-08-17
EV-00531,Koramangala,3W,6.4,2025-02-14
EV-00532,Koramangala,2W,1.6,2024-04-07
EV-00533,Koramangala,4W,59.7,2025-02-12
EV-00534,Koramangala,4W,74.9,2025-01-31
EV-00535,Koramangala,3W,9.2,2024-05-01
